Institution_ID,Institution_Name,Institution_Address,Institution_City,Institution_State,Institution_Zip,Institution_Web_Address,
161712,A. I. Prince Technical High School,401 Flatbush Avenue,Hartford,CT,"06106",,
125514,A. T. Still University of Health Sciences,800 W. Jefferson St.,Kirksville,MO,"63501",WWW.ATSU.EDU,
125514,A. T. Still University of Health Sciences,800 W. Jefferson St.,Kirksville,MO,"63501",WWW.ATSU.EDU,
229799,A.B.I School of Barbering and Cosmetology of Chelsea,252 West 29th Street,New York,NY,"10001-5271",,
188526,Abcott Institute,"16250 Northland Drive, Suite 205",Southfield,MI,"48075",www.abcottinstiutute.com,
209481,Academy for Jewish Religion,"UCLA, 574 Hilgard Avenue",Los Angeles,CA,"90024",www.ajrca.org,
210191,Academy of Aesthetic Arts,10316 Shawnee Mission Pkwy,Shawnee,KS,"66203",www.aestheticsarts.org,
102386,Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,"94612",www.acchs.edu,
102386,Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,"94612",www.acchs.edu,
229540,Academy of Interactive Entertainment,305 Harrison Street,Seattle,WA,"98109",,
210216,Access Careers,"25 Elm Place, Suite #201",Brooklyn,NY,"11201",www.accesscareers.net,
210225,Access Careers - Hempstead,"474 Fulton Avenue, Suite 201",Hempstead,NY,"11550",www.accesscareers.net,
234650,"Adult & Community Education, Columbus City Schools",2323 Lexington Ave,Columbus,OH,"43211",,
158486,Adult Center for Education,920 Moxahala Avenue,Zanesville,OH,"43701",www.mid-east.k12.oh.us,
219417,Advanced Career Institute - Visalia,1728 North Kelsey Street,Visalia,CA,"93291",www.trainaci.com,
210243,Aiken School of Cosmetology,225 Richland Avenue E,Aiken,SC,"29801",www.aikenschoolofcosmetology.com,
228088,Alamo City Barber College,"8910 Bandera Road, Suite 204",San Antonio,TX,"78250",,
207290,Alaska Christian College,35109 Royal Pl,Soldotna,AK,"99669-9755",www.akcc.org,
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,"91801",www.amuedu.com,
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,"91801",www.amuedu.com,
218636,Alhambra Medical University,"25 S. Raymond Avenue, Suite 201",Alhambra,CA,"91801",www.amuedu.com,
229771,Alliance Computing Solutions (ACS),"3660 Main Street, 4th Floor",Flushing,NY,"11354",,
154314,Altamaha Technical College,1777 W Cherry St,Jesup,GA,"31545",www.altamahatech.edu,
112312,American Academy of Art,332 S Michigan Ave,Chicago,IL,"60604-4302",www.aaart.edu,
211802,American Christian College & Seminary,4300 Highline Blvd,Oklahoma City,OK,"73108",,
164508,American College of Acupuncture and Oriental Medicine,9100 Park West Drive,Houston,TX,"70063-4104",www.acaom.edu,
164827,American College of Traditional Chinese Medicine,455 Arkansas St,San Francisco,CA,"94107",www.actcm.edu,
169956,American Institute of Alternative Medicine,6685 Doubletree Ave,Columbus,OH,"43229",www.aiam.edu,
219462,American Institute of Pharmaceutical Technology,210 Lee Place,Hackensack,NJ,"06701",www.aiptnet.com,
229559,American Truck School,8530 Commercial Way,Redding,CA,"96002",,
190123,American University of Armenia,300 Lakeside Drive. 4th Floor,Oakland,CA,"94612",,
210261,Anderson Medical Career College,10752 Burbank Boulevard,North Hollywood,CA,"91601",www.andersonmedicalcollege.com,
207388,Angeles Institute,"11688 South Street, Suite 205",Artesia,CA,"90701",,
229805,Anson College of Cosmetology,1217 East Caswell Street,Wadesboro,NC,"28170",,
164517,AOMA Graduate School of Integrative Medicine,2700 W Anderson Ln Ste 204,Austin,TX,"78757",www.aoma.edu,
228723,Aparicio-Levy Technical Center,10119 East Ellicott Street,Tampa,FL,"33610",,
169840,Apex School of Theology,1701 T.W. Alexander Drive,Durham,NC,"27703",www.apexsot.edu,
183691,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,"24631",www.acpharm.org,
183691,Appalachian College of Pharmacy,1060 Dragon Road,Oakwood,VA,"24631",www.acpharm.org,
230199,ARCLabs,"2615 Highway 153, Unit B-3",Piedmont,SC,"29673",,
226745,Arkansas Career Training Institute,105 Reserve,Hot Springs,AR,"71902",,
101754,Arkansas Tech University,"Administration Bldg. 200, 1509 North Boulder Avenue",Russellville,AR,"72801-2222",www.atu.edu,
159382,ASA Institute of Business and Computer Technology,151 Lawrence Street,Brooklyn,NY,"11201",www.asa.edu,
218991,Athena Career Academy,5203 Airport Highway,Toledo,OH,"43615",,
110884,Atlanta Technical College,"1560 Metropolitan Pkwy, S.W.",Atlanta,GA,"30310",www.atlantatech.edu,
208080,Aultman College of Nursing and Health Sciences,2600 Sixth Street SW,Canton,OH,"44710-1799",,
176354,Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,FL,"34142",www.avemaria.edu,
176354,Ave Maria University,5050 Ave Maria Boulevard,Ave Maria,FL,"34142",www.avemaria.edu,
183725,Bais Medrash Toras Chesed,910 Monmouth Avenue,Lakewood,NJ,"08701",,
122162,Baker College,1050 West Bristol Road,Flint,MI,"48507",www.baker.edu,
163435,Bakke Graduate University,1013 8th Avenue Suite 401,Seattle,WA,"98104",www.bgu.edu,
161660,Baldwin Park Adult and Community Education,4640 N. Maine Ave,Baldwin Park,CA,"91706-4221",www.bpace.k12.ca.us,
144467,Baptist Missionary Association Theological Seminary,1530 E Pine St,Jacksonville,TX,"75766-5407",www.bmats.edu,
174428,Bassett Adult School,1314 N. Le Borgne,LaPuente,CA,"91746",www.bassett.k12.ca.us,
233082,Bassett Adult School,943 North Sunkist Avenue,La Puente,CA,"91746",,
148779,Bastyr University,14500 Juanita Drive NE,Kenmore,WA,"98028",www.bastyr.edu,
148779,Bastyr University,14500 Juanita Drive NE,Kenmore,WA,"98028",www.bastyr.edu,
156569,Baylor University Medical Center,3500 Gaston Avenue,Dallas,TX,"75246",,
164021,Beacon University,6003 Veterans Parkway,Columbus,GA,"31909-4663",beacon.edu,
190363,Beaumont Adult School,1575 Cherry Avenue,Beaumont,CA,"92223",,
191755,Beauty Academy of South Florida,9800 NW 77th Avenue,Hialeah Gardens,FL,"33016",www.beautyacademyofsouthflorida.com,
219435,Beauty and Health Institute,11309 Countryway Boulevard,Tampa,FL,"33626",www.bhicareer.com,
143136,Belmont University,1900 Belmont Blvd,Nashville,TN,"37212-3757",www.belmont.edu,
208424,Bethel College,1705 Todds Lane,Hampton,VA,"23666-2366",www.bethel-college.com,
102650,Bethesda University,730 North Euclid St,Anaheim,CA,"92801",www.buc.edu,
111027,Beulah Heights University,892 Berne Street PO Box 18145,Atlanta,GA,"30316",www.beulah.edu,
171049,Birthingway College of Midwifery,12113 SE Foster Rd,Portland,OR,"97266",www.birthingway.edu,
170444,Birthwise Midwifery School,24 South High Street,Bridgton,ME,"04009",www.birthwisemidwifery.org,
151661,Blue Hills Regional Technical School,800 Randolph St,Canton,MA,"02021",www.bluehills.org,
183442,Bob Jones University,1700 Wade Hampton Boulevard,Greenville,SC,"29614",www.bju.edu,
223074,Boca Beauty Academy,"7280 Glades Road, Suite 175",Boca Raton,FL,"33434",,
125064,Boonslick Technical Education Center,1694 Ashley Rd,Boonville,MO,"65233",www.btec.boonville.k12.mo.us,
120670,Boston Baptist College,950 Metropolitan Ave,Boston,MA,"02136-4030",www.boston.edu,
216579,Boxelder Job Corps Center,22023 Job Corps Place,Nemo,SD,"57759",,
226754,BR Global Learning,307 Roosevelt Avenue,Hato Rey,PR,"00918",,
135364,Bradford School,2469 Stelzer Road,Columbus,OH,"43219",www.bradfordschoolcolumbus.edu,
187815,Bristol Technical Education Center,431 Minor Street,Bristol,CT,"06010",,
188632,Brunswick Job Corps Center,4401 Glynco Parkway,Brunswick,GA,"31525",,
216454,Buckner Barber College,"1515 S. Buckner Blvd., #147",Dallas,TX,"75217",,
187833,Bullard - Havens Technical High School,500 Palisade Avenue,Bridgeport,CT,"06610",,
229212,Burnett International College,1903 South Congress Avenue,Boynton Beach,FL,"33426",,
135036,Butler Technology and Career Development Schools,3603 Hamilton Middletown Rd,Hamilton,OH,"45011",www.butlertech.org,
228167,Butte County Regional Occupational Program,"2491 Carmichael Drive, Suite 200",Chico,CA,"95928",,
189291,Byzantine Catholic Seminary of SS. Cyril and Methodius,3605 Perrysville Avenue,Pittsburgh,PA,"15214",www.byzcathsem.org/main/home.php,
103130,California Christian College,4881 E University Ave,Fresno,CA,"93703-3599",www.calchristiancollege.edu,
233462,California Institute of Medical Science,"1901 E. Shields, B-118",Fresno,CA,"93726",,
207768,California Northstate College of Pharmacy,10811 International Drive,Rancho Cordova,CA,"95670",www.californiacollegeofpharmacy.org,
170240,California State University - Channel Islands,One University Dr,Camarillo,CA,"93012",www.csuci.edu,
102951,California State University - Fullerton,800 N State College Blvd,Fullerton,CA,"92831-3599",www.fullerton.edu,
103006,California State University - Sacramento,6000 J St,Sacramento,CA,"95819-2694",www.csus.edu,
114585,Calumet College of St. Joseph,2400 New York Ave,Whiting,IN,"46394",www.ccsj.edu,
139047,Calvary Baptist Theological Seminary,1380 S. Valley Forge Rd.,Lansdale,PA,"19446-4797",seminary.cbs.edu,
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,"93534",www.careercareinstitute.com,
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,"93534",www.careercareinstitute.com,
185509,Career Care Institute - Lancaster,"43770 15th Street West, Suite 115",Lancaster,CA,"93534",www.careercareinstitute.com,
191773,Career College of New York - Staten Island,"350 St. Marks Place, Room 105",Staten Island,NY,"10301",,
191764,Career College of San Diego,"3350 Market Street, Suite C",San Diego,CA,"92102",www.careercollegesandiego.com,
208433,Carolina College of Biblical Studies,817 S. McPherson Church Road,Fayetteville,NC,"28303-5157",www.carolinabiblecollege.org,
216463,Carolina College of Hair Design,"85 Tunnel Road, Innsbruck Mall",Asheville,NC,"28805",,
174482,Carolina Graduate School of Divinity,2400 Old Chapman Street,Greensboro,NC,"27403",www.ceds.edu,
174482,Carolina Graduate School of Divinity,2400 Old Chapman Street,Greensboro,NC,"27403",www.ceds.edu,
112118,Carrington College - Boise,1122 North Liberty Street,Boise,ID,"83704",,
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,"85051-4063",www.apollocollege.edu,
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,"85051-4063",www.apollocollege.edu,
100946,Carrington College - Phoenix,8503 N 27th Ave,Phoenix,AZ,"85051-4063",www.apollocollege.edu,
143163,Carson-Newman University,1646 Russell Avenue,Jefferson City,TN,"37760",www.cn.edu,
188702,Carville Job Corps Academy,5465 Point Clair Road,Carville,LA,"70721",,
168087,Cascadia Community College,18345 Campus Way NE,Bothell,WA,"98011-8205",www.cascadia.edu,
139083,Cedar Crest College,100 College Drive,Allentown,PA,"18104-6196",www.cedarcrest.edu,
208646,Cedars Sinai Medical Center,8700 Beverly Blvd.  Room 1316,Los Angeles,CA,"90048",,
188720,Center for Antiterrorism and Navy Security Forces,"1575 Gator Boulevard, Suite 226",Norfolk,VA,"23521",,
103264,Center for Employment Training - San Jose,701 Vine St,San Jose,CA,"95110",www.cet2000.org,
187763,Central Baptist Theological Seminary of Minneapolis,900 Forestview Lane North,Plymouth,MN,"55441",www.centralseminary.edu,
103370,Chapman University,One University Dr.,Orange,CA,"92866",www.chapman.edu,
106625,Charles A. Jones Skills and Business Education Center,5451 Lemon Hill Ave,Sacramento,CA,"95824-1529",,
162779,Charles H McCann Technical School,70 Hodges Cross Rd,North Adams,MA,"01247-3999",,
103389,Charles R Drew University of Medicine and Science,1731 E 120th St,Los Angeles,CA,"90059",www.cdrewu.edu,
172787,Charlotte Christian College and Theological Seminary,3117 Whiting Ave,Charlotte,NC,"28205-1648",www.nlts.edu,
112668,Chicago State University,9501 South King Drive,Chicago,IL,"60628",www.csu.edu,
150419,Chippewa Valley Technical College,620 W Clairemont Ave,Eau Claire,WI,"54701-6162",www.cvtc.edu,
153056,Christian Life College,400 E Gregory St,Mount Prospect,IL,"60056-2522",www.christianlifecollege.edu,
231882,Clinical Research Academy of America,"100 Menlo Park Drive, Suite 550",Edison,NJ,"08837",,
142230,Clinton College,1029 Crawford Rd,Rock Hill,SC,"29730",www.clintonjuniorcollege.edu,
162089,Clinton-Essex-Warren-Washington BOCES,"1585 Military Turnpike, P.O. Box 455",Plattsburgh,NY,"12901-0455",www.cves.org,
103501,Clovis Adult Education,1452 David E Cook Way,Clovis,CA,"93611",,
118392,Cloyd's Beauty School #1,603 Natchitoches Street,West Monroe,LA,"71291",cloydsbeautyschool.com,
142249,Coker College,300 E College Ave,Hartsville,SC,"29550",www.coker.edu,
158431,College of Biblical Studies-Houston,7000 Regency Square Blvd.,Houston,TX,"77036-3211",www.cbshouston.edu,
124229,College of Saint Benedict,37 S College Ave,Saint Joseph,MN,"56374",www.csbsju.edu,
106537,College of the Sequoias,915 S Mooney Blvd,Visalia,CA,"93277-2214",cos.edu,
216490,Colorado Academy of Veterinary Technology,2766-68 Janitell Road,Colorado Springs,CO,"80906",,
125189,Columbia Area Career Center,4205 South Providence Road,Columbia,MO,"65203",www.career-center.org,
179098,Columbia Centro Universitario,PO Box 8517,Caguas,PR,"00726",www.columbiaco.edu,
207458,Columbia College,8300 Merrifield Avenue 3F,Fairfax,VA,"22031",,
103592,Columbia College Hollywood,18618 Oxnard Street,Tarzana,CA,"91356",www.columbiacollege.edu,
163383,Columbia Gorge Community College,400 E Scenic Dr,The Dalles,OR,"97058",www.cgcc.cc.or.us,
135355,Columbiana County Career and Technical Center,9364 St Rt 45,Lisbon,OH,"44432",,
174507,Community Christian College,1849 N. Wabash Avenue,Redlands,CA,"92374",www.cccollege.edu,
216481,Computer Training Academy,1258 Columbia Avenue,Riverside,CA,"92507",www.cta5.com,
105738,Concorde Career College,"4393 Imperial Avenue, Suite 100",San Diego,CA,"92113-1964",www.concorde.edu,
106971,Concorde Career College,12412 Victory Boulevard,North Hollywood,CA,"91606-9932",www.concorde.edu,
116952,Concorde Career College,3239 Broadway,Kansas City,MO,"64111",www.concorde.edu,
143224,Concorde Career College,"5100 Poplar Avenue, Suite 132",Memphis,TN,"38137",www.concorde.edu,
107390,Concorde Career College - Aurora,111 N. Havana Street,Aurora,CO,"80010-4314",www.concorde.edu,
107390,Concorde Career College - Aurora,111 N. Havana Street,Aurora,CO,"80010-4314",www.concorde.edu,
109369,Concorde Career Institute,7960 Arlington Expressway,Jacksonville,FL,"32211-7480",www.concorde.edu,
149930,Concordia University Wisconsin,12800 N. Lake Shore Dr.,Mequon,WI,"53097-2402",www.cuw.edu,
231907,Coral Springs Fire Academy,4180 NW 120th Avenue,Coral Springs,FL,"33065",,
210313,Cosmetic Arts Institute,1789 Hampton Street,Walterboro,SC,"29488",,
103653,Cosumnes River College,8401 Center Pky,Sacramento,CA,"95823-5799",www.crc.losrios.edu/,
133331,Craven Community College,800 College Ct,New Bern,NC,"28562",www.cravencc.edu,
136640,Cuyahoga Valley Career Center,8001 Brecksville Road,Brecksville,OH,"44141-1296",www.cvcc.k12.oh.us,
216588,Cybertex Institute of Technology,"6300 La Calma Drive, Suite 350",Austin,TX,"78752",,
210322,D.A. Dorsey Educational Center,7100 N.W. 17th Avenue,Miami,FL,"33147-6333",http://dadorsey.dadeschools.net,
228060,Dallas County Technical Center,33 Vo-Tech Drive,Louisburg,MO,"65685",,
185800,Daoist Traditions College of Chinese Medical Arts,382 Montford Avenue,Asheville,NC,"28801",,
185800,Daoist Traditions College of Chinese Medical Arts,382 Montford Avenue,Asheville,NC,"28801",,
232751,Daymar Institute - Clarksville,2691 Trenton Road,Clarksville,TN,"37040",,
207421,Defense Cyber Investigations Training Academy,911 Elkridge Landing Road,Linthicum,MD,"21090",www.dc3.mil,
165635,Delaware College of Art and Design,600 N Market St,Wilmington,DE,"19801-3007",www.dcad.edu,
108746,Delaware State University,1200 N. Dupont Highway,Dover,DE,"19901",www.desu.edu,
183734,Derech Ayson Rabbinical Seminary,802 Hicksville Road,Far Rockaway,NY,"11691",,
234483,DeVry University,3005 Highland Parkway,Downers Grove,IL,"60515-5799",,
210331,Diamonds Cosmetology College,1950 North Grand,Sherman,TX,"75090",,
120971,Diman Regional Technical Institute,251 Stonehaven Rd,Fall River,MA,"02723",,
207430,Dixie Applied Technology College,1506 South Silicon Way,St. George,UT,"84770",dixieatc.org,
146834,Dixie State university,225 S 700 E,Saint George,UT,"84770-3876",www.dixie.edu,
114071,Dominican University,7900 W Division St,River Forest,IL,"60305",www.dom.edu/,
212726,Dominion College,21024 24th Avenue South,Seattle,WA,"98198",,
106111,Dongguk University - Los Angeles,440 Shatto Pl,Los Angeles,CA,"90020-1704",www.dula.edu,
155399,Downey Adult School,12340 Woodruff Ave,Downey,CA,"90241",www.das.k12.ca.us,
139311,Drexel University,3141 Chestnut St,Philadelphia,PA,"19104",www.drexel.edu,
161068,East San Gabriel Valley Regional Occupational Program,1501 W Del Norte St.,West Covina,CA,"91790",www.esgvrop.org,
143297,East Tennessee State University,807 University Pky,Johnson City,TN,"37614-0000",www.etsu.edu,
167826,Eastern West Virginia Community and Technical College,1929 State Road 55,Moorefield,WV,"26836-1155",www.Eastern.wvnet.edu,
160001,Eastland Fairfield Career and Technical Schools,4300 Amalgamated Pl,Groveport,OH,"43125-9236",,
135522,Edison State Community College,1973 Edison Dr,Piqua,OH,"45356-9239",www.edisonOHIO.edu,
231916,EduMed Partners,"907 Rivergate Parkway, Suite D2",Goodlettsville,TN,"37072",,
170912,Edward Via Virginia College of Osteopathic Medicine,2265 Kraft Dr,Blacksburg,VA,"24060",WWW.VCOM.VT.EDU,
179052,Electronic Data Processing College of Puerto Rico,P.O. Box 192303,Hato Rey,PR,"00919",,
112941,Elgin Community College,1700 Spartan Drive,Elgin,IL,"60123-7193",www.elgin.edu,
166106,Eli Whitney Technical High School,825 Hartford Turnpike,Hamden,CT,"06517",,
207379,Employment Solutions - College for Technical Education,"1165 Centre Parkway, Suite 120",Lexington,KY,"40517",www.employmentsolutionsinc.org,
106892,Epic Bible College and Graduate School,4330 Auburn Boulevard,Sacramento,CA,"95841",www.epic.edu,
235246,Erie 1 BOCES,355 Harlem Road,West Seneca,NY,"14224",,
235246,Erie 1 BOCES,355 Harlem Road,West Seneca,NY,"14224",,
207069,EUCON International College,P.O Box 500087 CK,Saipan,MP,"96950",www.eucon.edu,
210340,Eureka Institute of Health and Beauty,11373 West Flagler Street,Miami,FL,"33174",,
207917,Evangelia University,"2660 W. Woodland Dr., Suite 200",Anaheim,CA,"92801",www.evangelia.edu,
158282,Everglades University,"5002 T-Rex Avenue, Suite 100",Boca Raton,FL,"33431",www.evergladescollege.edu,
216597,Excel Learning Center,1605 George Dieter Bldg. 100,El Paso,TX,"79936",,
229221,Excel Learning Center - San Antonio North,"3201 Cherry Ridge Drive, Suite B200",San Antonio,TX,"78238",,
128115,Fairleigh Dickinson University,1000 River Road,Teaneck,NJ,"07666",www.fdu.edu,
128115,Fairleigh Dickinson University,1000 River Road,Teaneck,NJ,"07666",www.fdu.edu,
171146,Faith Evangelical College and Seminary,3504 North Pearl Street,Tacoma,WA,"98407-0186",www.faithseminary.edu,
171155,Family of Faith College,30 Kinville,Shawnee,OK,"74804",www.familyoffaithcollege.com,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
103981,Fashion Institute of Design and Merchandising,919 South Grand Avenue,Los Angeles,CA,"90015-1421",WWW.FIDM.EDU,
195252,Federal Correctional Institution - Tallahassee,501 Capital Circle NE,Tallahassee,FL,"32301",,
231925,First Response Medical Training,"2904 Trimmier Road, Suite 2",Killeen,TX,"76542",,
185819,"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA","3031 Tisch Way, Suite 605",San Jose,CA,"95128",www.fivebranches.edu,
185819,"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA","3031 Tisch Way, Suite 605",San Jose,CA,"95128",www.fivebranches.edu,
185819,"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA","3031 Tisch Way, Suite 605",San Jose,CA,"95128",www.fivebranches.edu,
185819,"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA","3031 Tisch Way, Suite 605",San Jose,CA,"95128",www.fivebranches.edu,
185819,"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA","3031 Tisch Way, Suite 605",San Jose,CA,"95128",www.fivebranches.edu,
185819,"Five Branches University:  Graduate School of Traditional Chinese Medicine - San Jose, CA","3031 Tisch Way, Suite 605",San Jose,CA,"95128",www.fivebranches.edu,
126553,Flathead Valley Community College,777 Grandview Dr,Kalispell,MT,"59901",www.fvcc.edu,
109457,Florida Career College - Miami,"1321 S.W. 107 Avenue, Suite 201B",Miami,FL,"33174",www.careercollege.edu,
109165,Florida Christian College,1011 Bill Beck Blvd,Kissimmee,FL,"34744",www.fcc.edu,
165918,Florida Gulf Coast University,10501 FGCU Blvd South,Fort Myers,FL,"33965-6565",www.fgcu.edu,
228918,Florida Institute of Traditional Chinese Medicine,5335 66th Street,North St. Petersburg,FL,"33709",,
229568,Focus Personal Training Institute,"115 West 27th Street, 11th Floor",New York,NY,"10001",,
125374,Four Rivers Career Center,1978 Image Drive,Washington,MO,"63090-4235",washington.k12.mo.us,
112996,Fox College Inc,4201 W 93rd St,Oak Lawn,IL,"60453",www.foxcollege.edu,
152044,Francis Tuttle Technology Center,12777 N Rockwell Ave,Oklahoma City,OK,"73142-2789",www.francistuttle.com,
188988,Futura Career Institute,4512 West 12th Avenue,Hialeah,FL,"33012",www.futuracareerinstitute.net,
213358,Future Generations Graduate School,HC 73 Box 100 North Mountain,Franklin,WV,"26807",www.future.org,
117496,Galen College of Nursing,1031 Zorn Avenue Suite 400,Louisville,KY,"40206",nursingcareer.com,
229577,Garden State Science and Technology Institute,"591 Summit Avenue, Suite 705",Jersey City,NJ,"07306",,
188997,GDS Institute,7916 Long Beach Boulevard,South Gate,CA,"90280",,
138594,GEORGE FOX EVANGELICAL SEMINARY,12753 SW 68th Avenue,PORTLAND,OR,,,
108898,Georgetown University,37th and O St NW,Washington,DC,"20057",www.georgetown.edu,
210696,Georgia Christian University,6789 Peachtree Industrial Blvd.,Atlanta,GA,"30360",www.gcuniv.edu,
211255,Georgia Gwinnett College,1000 University Center Lane,Lawrenceville,GA,"30043",www.ggc.edu,
183141,Global University,1211 South Glenstone Avenue,Springfield,MO,"65804",www.globaluniversity.edu,
104221,Golden Gate Baptist Theological Seminary,201 Seminary Drive,Mill Valley,CA,"94941-3197",www.ggbts.edu,
219259,Good Careers Academy,12332 IH-10 West,San Antonio,TX,"78230",,
114752,Grace College and Seminary,200 Seminary Dr.,Winona Lake,IN,"46590",www.grace.edu,
214713,Grace College of Divinity,5117 Cliffdale Road,Fayetteville,NC,"28314",www.gcdivinity.org,
210702,Grace Mission University,1645 W. Valencia Dr.,Fullerton,CA,"92833",www.gm.edu,
210702,Grace Mission University,1645 W. Valencia Dr.,Fullerton,CA,"92833",www.gm.edu,
230995,Grace School of Theology,3705 College Park Drive,The Woodlands,TX,"77384",www.gsot.org,
210386,Graduate School USA,"600 Maryland Avenue, S.W.",Washington,DC,"20250",www.graduateschool.edu,
125143,Grand River Technical School,1200 Fair St,Chillicothe,MO,"64601",www.grts.org,
186496,Grant Career Center,718 West Main Street,Bethel,OH,"45106",,
216560,Great Lakes Truck Driving School,27740 Royalton Road,Columbia Station,OH,"44028",www.greatlakestds.com,
187888,Greater Lowell Technical High School,250 Pawtucket Boulevard,Tyngsboro,MA,"01879",,
159717,Greater Southern Tier BOCES,459 Philo Road,Elmira,NY,"14903-1089",www.sctboces.org,
213914,Gurnick Academy of Medical Arts - San Mateo,"2121 South El Camino Real, Building C200",San Mateo,CA,"94403",,
163356,Gutenberg College,1883 University Street,Eugene,OR,"97403",www.gutenberg.edu,
183877,Han University of Traditional Medicine,2856 E. Fort Lowell Road,Tucson,AZ,"85716",www.asianinstitute.edu,
183877,Han University of Traditional Medicine,2856 E. Fort Lowell Road,Tucson,AZ,"85716",www.asianinstitute.edu,
183877,Han University of Traditional Medicine,2856 E. Fort Lowell Road,Tucson,AZ,"85716",www.asianinstitute.edu,
216472,Hands-On Medical Massage School,101 East Redlands Blvd.,Redlands,CA,"92373",,
145035,Hardin-Simmons University,2200 Hickory,Abilene,TX,"79698",www.hsutx.edu,
101949,Harding University,915 E. Market Ave.,Searcy,AR,"72149",www.harding.edu,
101949,Harding University,915 E. Market Ave.,Searcy,AR,"72149",www.harding.edu,
101949,Harding University,915 E. Market Ave.,Searcy,AR,"72149",www.harding.edu,
113096,Harrington College of Design,200 W. Madison,Chicago,IL,"60606",WWW.INTERIORDESIGN.EDU,
214485,Harrisburg University of Science and Technology,326 Market Street,Harrisburg,PA,"17101",www.HarrisburgU.edu,
151795,Hawai'i Theological Seminary,1881 California Ave,Wahiawa,HI,"96786",icgshawaii.org,
173799,Hawaii College of Oriental Medicine,"180 Kinoole Street, Suite 301",Hilo,HI,"96720",www.tcmch.edu,
115995,Hawkeye Community College,"1501 East Orange Road, P.O. Box 8015",Waterloo,IA,"50704",www.hawkeyecollege.edu,
207962,Hazelden Graduate School of Addiction Studies,PO Box 11,Center City,MN,"55012-0011",www.hazelden.org,
223083,Healthcare Preparatory Institute,"5831 West Craig Road, Suites 102-103",Las Vegas,NV,"89130",,
223092,Healthcare Training Institute - Kenner,322 Williams Blvd.,Kenner,LA,"70062",,
133553,Heritage Bible College,1747 Bud Hawkins Road,Dunn,NC,"28334",www.heritagebiblecollege.edu,
190327,Herndon Career Center,11501 East Highway 350,Raytown,MO,"64138",,
185299,Herzing University,525 N. 6th Street,Milwaukee,WI,"53203",www.herzing.edu,
109590,Hillsborough Community College,39 Columbia Drive,Tampa,FL,"33606",www.hccfl.edu,
137476,Hillsdale Free Will Baptist College,3701 S. I-35 Frontage Road PO Box 7208,Moore,OK,"73160",www.hc.edu,
143394,Hiwassee College,225 Hiwassee College Drive,Madisonville,TN,"37354-4001",www.hiwassee.edu,
154785,Hodges University,2655 Northbrooke Drive,Naples,FL,"34119-7932",www.hodges.edu/,
147633,Hollins University,7916 Williamson Rd NW,Roanoke,VA,"24020",www.hollins.edu,
147633,Hollins University,7916 Williamson Rd NW,Roanoke,VA,"24020",www.hollins.edu,
207306,Horizon University,"10625 Scripps Ranch Boulevard, Suite F",San Diego,CA,"92131",www.horizoncollege.org,
142373,Horry-Georgetown Technical College,2050 Highway 501 East,Conway,SC,"29526",www.hgtc.edu,
218982,Hot Rod Institute,2402 N Maple,Rapid City,SD,"57709",,
120096,Howard Community College,10901 Little Patuxent Pkwy,Columbia,MD,"21044-3197",www.howardcc.edu,
187921,Howell Cheney Technical High School,791 West Middle Turnpike,Manchester,CT,"06040",,
151050,Huertas College,#41 Hector R Bunker  St,Caguas,PR,"00726",www.huertas.edu,
151050,Huertas College,#41 Hector R Bunker  St,Caguas,PR,"00726",www.huertas.edu,
228626,HUMINT Training - Joint Center of Excellence,"821 Irwin Street, Matlack Hall (Building 80122)",Fort Huachuca,AZ,"85613",,
228626,HUMINT Training - Joint Center of Excellence,"821 Irwin Street, Matlack Hall (Building 80122)",Fort Huachuca,AZ,"85613",,
183947,Huntsville Bible College,904 Oakwood Ave NW,Huntsville,AL,"35811",www.hbc1.edu,
229230,HVAC Technical Institute,4532 South Kolin Avenue,Chicago,IL,"60632",,
